 --- Insitu ECHO meas template for data-frame used to store inputs and write file header - change at your own risk---,,,,
key,value,units,fmf_name,fmf_category
exp_name,experiment, , ,*reference
sample,Sample, , ,*reference
user,warrenr, , ,*reference
date,2016-11-15 16:02:14.461079, , ,*reference
setup,inSituEcho, ,setup,*setup
vers,0, ,setup,*setup
loc,"AFMD lab, ECHO", ,setup,*setup
x_descript,V,/V,Voltage,*data definitions
y_descript,I,/A,Current,*data definitions
sav_loc,/test/location, , , 
rec_len, , , , 
initialV,-13.0,Vstart,Parameters,*parameters
finalV,4.0,Vend,Parameters,*parameters
stepSize,0.5,Vstep,Parameters,*parameters
holdTime,0.1,holdTime,Parameters,*parameters
baudR,57600,baudRate,setup,*setup
termChar,\r,termChar,setup,*setup
connectionType,Serial,Connection,setup,*setup
4wire,Off, ,setup,*setup
route,Front, ,setup,*setup
serAdapt,USB, ,setup,*setup
serAd,0, ,setup,*setup
takefixedV,True, ,Parameters,*parameters
takeIVsweep,True, ,Parameters,*parameters
fixedV,1.0,V,Vsource,*parameters
nRepeats,20, ,Parameters,*parameters
pauseTime,0.5,s,Time between measurements,*parameters
